id_post,titulo,descripcion,fecha
P001,Lanzamiento de la red interna,Por fin ponemos en marcha el proyecto que tanto esperabamos,2024-09-10
P002,Gira regional,Llegamos a varias sedes y el equipo respondió muy bien,2024-09-12
P003,Dia de bienestar,Una jornada muy buena con todo el grupo,2024-09-14
P004,Informe seccional,Qe semana tan dura pero con buenos resultados,2024-09-16
P005,Reconocimiento,Feliz de ver el esfuerzo del equipo siendo valorado,2024-09-18
P006,Actualización de software,Sistemas nuevos instalados, cualquier fallo me avisan pls,2024-09-20
P007,Obras en la sede norte,Ya vamos por la mitad del arreglo, gracias a todos por la paciencia,2024-09-22
P008,Mi primer dia en la empresa,Un poco nervioso pero con muchas ganas de aprender,2024-09-24
P009,Ideas para mejorar,Dejo unas sugerencias q se me ocurrieron estos dias,2024-09-26
P010,Reunion del equipo,Gran espacio para escucharnos y planear lo que viene,2024-09-28
P011,Capacitación tecnica,Comparto unas notas del curso de mantenimiento,2024-09-30
P012,Cumple de area,Gracias a todos por celebrar la pasamos bien,2024-10-02
P013,Cierre de mes,Cansado pero contento se cumplió todo,2024-10-04
P014,Nuevo proyecto interno,Arrancamos algo grande luego les cuento mas,2024-10-06
P015,Inicio de practicas,Primera semana super movida aprendiendo un monton,2024-10-08
